ID,1629: Lecture Clarity,1630: Lectures: Order Sequence,1631: Lectures: Adequacy of Examples,"1632: Textbook Suitability, wherever applicable  ","1633: Audio/visual presentation quality, if any",1634: Cases: Relevance,1635: Case effectiveness,1636: Projects/Assignments: Relevance,1637: Projects/Assignments: Effectiveness,1638: Instructor: Preparation,1639: Instructor: Enthusiasm,1640: Instructor: Concern for students,1641: Instructor: Enforcing discipline,1642: Instructor: Adherence to schedule,1643: The course as a whole: Achieving objectives,1644: The course as a whole: Interest evoked,1645: Overall rating
41,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
42,4,4,4,4,5,4,4,4,4,4,5,5,5,5,4,5,5
43,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
44,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
47,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
48,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
49,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50,5,5,5,,5,4,4,4,4,5,5,5,5,5,5,5,5
51,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
52,5,5,4,4,5,4,4,5,5,5,5,4,4,5,5,4,5
53,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
54,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
55,4,5,4,3,4,3,3,4,4,5,5,5,5,5,4,4,4
56,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
58,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
59,5,4,5,4,5,5,4,3,4,5,5,5,5,5,5,4,4
60,4,4,4,3,5,4,4,4,4,5,5,4,5,5,5,4,5
61,4,5,5,5,5,5,5,5,4,5,5,3,4,5,5,5,4
62,4,5,4,4,5,5,4,5,4,5,5,5,5,5,5,5,5
63,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
64,4,4,3,3,5,4,4,5,4,5,5,5,5,5,5,5,5
65,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5
66,5,5,5,4,4,4,4,3,,3,5,4,4,4,4,4,4
67,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
68,5,4,5,4,5,4,5,5,5,5,5,5,4,4,5,5,5
69,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
70,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
71,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
72,3,3,3,3,5,3,3,3,3,4,5,5,4,4,3,3,4
73,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4
74,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4
75,5,4,5,4,4,4,4,4,5,4,5,3,4,5,4,4,4
76,4,4,3,4,5,3,4,3,4,5,5,4,4,4,4,4,4
77,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
78,3,4,4,4,4,4,4,4,4,4,4,5,4,3,4,3,4
79,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
80,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
81,4,5,4,4,5,4,4,5,5,5,5,5,3,5,4,4,4
82,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
83,3,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5
84,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
85,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
87,4,5,4,,5,4,,5,5,5,5,5,5,5,5,5,5
88,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
89,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
90,5,5,4,5,5,5,4,4,4,5,5,5,5,5,4,5,4
91,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
92,4,4,4,5,5,4,4,4,5,5,5,5,4,5,4,5,4
93,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
94,5,5,5,5,5,4,5,4,4,5,5,3,3,5,5,5,5
95,4,5,5,4,5,4,5,5,5,5,5,3,3,5,5,4,4
96,5,4,5,5,5,4,5,5,5,5,5,3,3,5,4,5,5
97,5,5,5,5,5,4,5,5,5,5,5,3,3,5,5,3,5
98,5,4,5,4,5,4,5,5,5,5,5,3,3,5,5,5,5
99,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
100,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
101,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5
102,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
103,4,5,4,5,5,5,5,4,4,5,5,5,5,5,4,4,5
104,4,4,4,4,5,4,4,4,4,5,5,5,4,5,4,4,4
105,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,
106,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
107,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
108,4,4,3,4,5,3,3,3,3,5,5,3,3,5,3,3,3
109,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
110,5,5,4,4,5,4,4,4,4,5,5,5,4,4,4,4,4
111,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
112,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
113,5,5,5,4,5,5,5,4,4,5,5,4,4,5,5,5,5
114,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5
115,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
116,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
117,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
118,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
119,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5
120,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,3,4
121,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
122,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
123,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
