Year,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
2015,AT Rayudu,7,7,267,124*,44.5,329,81.15,1,0,1,23,2
2015,STR Binny,8,7,190,77,38,183,103.82,0,1,0,17,5
2015,KM Jadhav,3,3,126,105*,63,113,111.5,1,0,0,14,1
2015,RA Jadeja,12,8,113,32,16.14,136,83.08,0,0,0,11,0
2015,M Vijay,3,3,86,72,28.66,125,68.8,0,1,0,3,2
2015,MK Pandey,1,1,71,71,71,86,82.55,0,1,0,4,1
2015,AR Patel,13,11,51,15*,7.28,69,73.91,0,0,3,0,3
2015,B Kumar,13,9,49,25*,8.16,79,62.02,0,0,2,3,1
2015,R Ashwin,13,8,48,16*,16,85,56.47,0,0,1,0,0
2015,Harbhajan Singh,7,5,47,22,15.66,48,97.91,0,0,2,3,1
2015,RV Uthappa,3,3,44,31,14.66,58,75.86,0,0,1,4,0
2015,Mohammed Shami,11,6,36,25,18,37,97.29,0,0,0,4,1
2015,MK Tiwary,3,3,34,22,11.33,73,46.57,0,0,0,0,1
2015,MM Sharma,15,5,18,11,9,31,58.06,0,0,1,3,0
2015,UT Yadav,14,4,6,4,2,19,31.57,0,0,1,1,0
2015,A Mishra,4,2,4,4,4,7,57.14,0,0,0,1,0
2015,DS Kulkarni,4,1,2,2*,-,2,100,0,0,0,0,0
2016,V Kohli,10,10,739,154*,92.37,739,100,3,4,0,62,8
2016,RG Sharma,10,10,564,171*,62.66,592,95.27,2,2,0,46,19
2016,S Dhawan,5,5,287,126,57.4,286,100.34,1,2,0,32,5
2016,AM Rahane,9,8,284,89,35.5,340,83.52,0,3,0,26,5
2016,MS Dhoni,13,10,278,80,27.8,347,80.11,0,1,1,18,9
2016,KL Rahul,3,3,196,100*,196,235,83.4,1,1,0,15,3
2016,MK Pandey,11,8,190,104*,38,185,102.7,1,0,1,16,2
2016,AT Rayudu,3,2,103,62*,-,164,62.8,0,1,0,12,0
2016,KM Jadhav,8,4,90,41,45,87,103.44,0,0,1,6,3
2016,AR Patel,8,3,79,38,26.33,80,98.75,0,0,0,4,3
2016,FY Fazal,1,1,55,55*,-,61,90.16,0,1,0,7,1
2016,KK Nair,2,2,46,39,23,88,52.27,0,0,0,6,0
2016,HH Pandya,4,2,45,36,22.5,45,100,0,0,0,3,0
2016,RA Jadeja,5,4,45,24*,45,42,107.14,0,0,0,2,0
2016,UT Yadav,10,4,27,18*,13.5,46,58.69,0,0,0,1,0
2016,DS Kulkarni,4,1,25,25*,-,26,96.15,0,0,0,2,1
2016,A Mishra,5,2,15,14,7.5,20,75,0,0,0,1,0
2016,Gurkeerat Singh,3,3,13,8,6.5,13,100,0,0,0,2,0
2016,R Dhawan,3,2,12,9,12,13,92.3,0,0,0,1,0
2016,B Kumar,2,1,2,2,2,6,33.33,0,0,0,0,0
2016,R Ashwin,2,1,1,1,1,2,50,0,0,0,0,0
2016,J Yadav,1,1,1,1*,-,1,100,0,0,0,0,0
2016,JJ Bumrah,8,1,0,0,0,1,0,0,0,1,0,0
2016,I Sharma,4,1,0,0,0,3,0,0,0,1,0,0
2017,V Kohli,26,26,1460,131,76.84,1473,99.11,6,7,2,136,22
2017,RG Sharma,21,21,1293,208*,71.83,1300,99.46,6,5,1,116,46
2017,S Dhawan,22,22,960,132*,48,947,101.37,3,6,1,124,14
2017,MS Dhoni,29,22,788,134,60.61,930,84.73,1,6,0,60,19
2017,AM Rahane,12,12,586,103,48.83,754,77.71,1,7,0,63,4
2017,KM Jadhav,25,18,561,120,40.07,505,111.08,1,3,1,62,11
2017,HH Pandya,28,19,557,83,34.81,462,120.56,0,4,1,35,30
2017,Yuvraj Singh,11,10,372,150,41.33,377,98.67,1,1,0,46,7
2017,KD Karthik,8,7,183,64*,61,262,69.84,0,2,1,16,0
2017,MK Pandey,10,8,171,50*,34.2,193,88.6,0,1,1,17,1
2017,SS Iyer,3,3,162,88,54,160,101.25,0,2,0,18,3
2017,B Kumar,24,7,132,53*,44,172,76.74,0,1,1,12,3
2017,RA Jadeja,10,6,65,16*,16.25,66,98.48,0,0,0,6,1
2017,KL Rahul,7,6,52,17,8.66,72,72.22,0,0,0,5,1
2017,Kuldeep Yadav,14,5,21,19,10.5,33,63.63,0,0,1,4,0
2017,R Ashwin,9,3,17,15*,8.5,16,106.25,0,0,0,0,1
2017,AR Patel,8,2,11,6,5.5,15,73.33,0,0,0,0,0
2017,JJ Bumrah,23,4,11,10*,5.5,30,36.66,0,0,1,2,0
2017,Mohammed Shami,3,2,7,6*,7,8,87.5,0,0,0,1,0
2017,UT Yadav,9,2,2,2*,2,3,66.66,0,0,1,0,0
2017,YS Chahal,14,2,1,1,1,11,9.09,0,0,0,0,0
2018,V Kohli,14,14,1202,160*,133.55,1172,102.55,6,3,0,123,13
2018,RG Sharma,19,19,1030,162,73.57,1029,100.09,5,3,1,104,39
2018,S Dhawan,19,19,897,127,49.83,877,102.28,3,2,0,127,11
2018,AT Rayudu,11,10,392,100,56,432,90.74,1,3,0,31,11
2018,MS Dhoni,20,13,275,42*,25,385,71.42,0,0,1,19,2
2018,KD Karthik,7,6,167,44,41.75,227,73.56,0,0,0,13,2
2018,AM Rahane,6,5,140,79,35,182,76.92,0,1,0,9,2
2018,B Kumar,14,7,101,21,20.2,147,68.7,0,0,0,6,1
2018,KM Jadhav,11,5,87,28*,43.5,90,96.66,0,0,0,6,2
2018,KL Rahul,3,3,69,60,34.5,86,80.23,0,1,1,5,1
2018,RA Jadeja,8,4,68,25,22.66,85,80,0,0,0,3,0
2018,HH Pandya,10,6,68,21,13.6,78,87.17,0,0,1,4,1
2018,SS Iyer,3,2,48,30,24,58,82.75,0,0,0,4,0
2018,SK Raina,3,2,47,46,23.5,67,70.14,0,0,0,1,0
2018,RR Pant,3,2,41,24,20.5,31,132.25,0,0,0,5,1
2018,Kuldeep Yadav,19,7,39,15*,39,67,58.2,0,0,0,1,0
2018,SN Thakur,3,2,22,22*,22,16,137.5,0,0,1,0,2
2018,YS Chahal,17,2,15,12,7.5,17,88.23,0,0,0,2,0
2018,DL Chahar,1,1,12,12,12,14,85.71,0,0,0,1,0
2018,MK Pandey,1,1,8,8,8,15,53.33,0,0,0,0,0
2018,KK Ahmed,6,2,4,3,4,12,33.33,0,0,0,0,0
2018,S Kaul,3,2,1,1,0.5,3,33.33,0,0,1,0,0
2018,JJ Bumrah,13,1,0,0,0,3,0,0,0,1,0,0
2018,Mohammed Shami,2,1,0,0*,-,1,0,0,0,0,0,0
2018,UT Yadav,4,1,0,0,0,2,0,0,0,1,0,0
2019,RG Sharma,28,27,1490,159,57.3,1657,89.92,7,6,1,146,36
2019,V Kohli,26,25,1377,123,59.86,1429,96.36,5,7,1,133,8
2019,MS Dhoni,18,16,600,87*,60,729,82.3,0,6,1,42,11
2019,S Dhawan,18,17,583,143,36.43,635,91.81,2,2,2,74,4
2019,KL Rahul,13,13,572,111,47.66,705,81.13,2,3,1,49,9
2019,KM Jadhav,23,19,470,81*,42.72,506,92.88,0,3,0,46,6
2019,RR Pant,12,11,305,71,27.72,297,102.69,0,1,1,33,8
2019,HH Pandya,12,11,287,48,31.88,243,118.1,0,0,1,27,9
2019,SS Iyer,6,5,266,71,53.2,236,112.71,0,4,0,17,11
2019,AT Rayudu,10,10,247,90,30.87,328,75.3,0,1,2,24,6
2019,V Shankar,12,8,223,46,31.85,246,90.65,0,0,0,20,4
2019,RA Jadeja,15,9,206,77,34.33,214,96.26,0,1,1,11,5
2019,KD Karthik,8,6,89,38*,22.25,110,80.9,0,0,1,9,1
2019,B Kumar,19,8,86,46,12.28,105,81.9,0,0,1,7,2
2019,Kuldeep Yadav,23,8,41,15,8.2,73,56.16,0,0,0,3,0
2019,YS Chahal,16,4,23,18*,11.5,44,52.27,0,0,1,4,0
2019,Mohammed Shami,21,10,20,8,2.85,30,66.66,0,0,1,2,0
2019,SN Thakur,2,1,17,17*,-,6,283.33,0,0,0,2,1
2019,Shubman Gill,2,2,16,9,8,32,50,0,0,0,2,0
2019,S Dube,1,1,9,9,9,6,150,0,0,0,1,0
2019,JJ Bumrah,14,7,8,6*,8,9,88.88,0,0,1,0,1
2019,DL Chahar,2,1,6,6*,-,8,75,0,0,0,0,0
2019,KK Ahmed,5,1,5,5,5,5,100,0,0,0,1,0
